0.6214	0.9990	0.7662
0.6646	0.9978	0.7978
0.6906	0.9971	0.8160
0.7101	0.9962	0.8292
0.7249	0.9955	0.8389
0.7378	0.9943	0.8471
0.7490	0.9932	0.8540
0.7585	0.9921	0.8597
0.7675	0.9912	0.8651
0.7751	0.9901	0.8695
0.7822	0.9891	0.8735
0.7889	0.9883	0.8775
0.7950	0.9874	0.8808
0.8011	0.9862	0.8841
0.8067	0.9847	0.8869
0.8120	0.9836	0.8896
0.8169	0.9824	0.8921
0.8221	0.9809	0.8945
0.8264	0.9796	0.8965
0.8306	0.9784	0.8985
0.8341	0.9769	0.8999
0.8385	0.9753	0.9018
0.8426	0.9738	0.9035
0.8467	0.9722	0.9051
0.8506	0.9709	0.9068
0.8541	0.9690	0.9079
0.8576	0.9674	0.9093
0.8611	0.9658	0.9105
0.8643	0.9643	0.9116
0.8676	0.9624	0.9125
0.8705	0.9610	0.9136
0.8738	0.9589	0.9144
0.8771	0.9574	0.9155
0.8805	0.9557	0.9166
0.8841	0.9541	0.9178
0.8869	0.9522	0.9184
0.8894	0.9505	0.9190
0.8918	0.9483	0.9192
0.8942	0.9463	0.9195
0.8971	0.9440	0.9200
0.8999	0.9422	0.9206
0.9024	0.9404	0.9210
0.9051	0.9383	0.9214
0.9076	0.9368	0.9220
0.9102	0.9347	0.9223
0.9124	0.9325	0.9224
0.9144	0.9299	0.9221
0.9164	0.9274	0.9219
0.9184	0.9249	0.9217
0.9211	0.9229	0.9220
0.9226	0.9200	0.9213
0.9244	0.9178	0.9211
0.9262	0.9153	0.9208
0.9278	0.9129	0.9203
0.9302	0.9104	0.9203
0.9325	0.9075	0.9198
0.9346	0.9052	0.9196
0.9361	0.9028	0.9192
0.9379	0.8992	0.9182
0.9395	0.8964	0.9175
0.9414	0.8939	0.9170
0.9433	0.8907	0.9163
0.9448	0.8872	0.9151
0.9471	0.8838	0.9144
0.9494	0.8804	0.9136
0.9514	0.8764	0.9124
0.9534	0.8731	0.9115
0.9551	0.8697	0.9104
0.9567	0.8663	0.9093
0.9584	0.8619	0.9076
0.9600	0.8580	0.9062
0.9616	0.8540	0.9047
0.9636	0.8495	0.9030
0.9652	0.8450	0.9012
0.9667	0.8404	0.8992
0.9681	0.8351	0.8967
0.9699	0.8298	0.8944
0.9715	0.8245	0.8920
0.9734	0.8187	0.8894
0.9749	0.8124	0.8863
0.9765	0.8060	0.8831
0.9780	0.7991	0.8796
0.9795	0.7921	0.8759
0.9814	0.7847	0.8721
0.9829	0.7767	0.8678
0.9841	0.7670	0.8621
0.9855	0.7574	0.8566
0.9870	0.7465	0.8501
0.9888	0.7339	0.8425
0.9907	0.7206	0.8344
0.9925	0.7042	0.8239
0.9936	0.6836	0.8100
0.9951	0.6539	0.7892
0.9978	0.5731	0.7281
0.5861	0.9984	0.7387
0.6330	0.9970	0.7744
0.6612	0.9956	0.7947
0.6811	0.9943	0.8084
0.6972	0.9927	0.8191
0.7103	0.9912	0.8276
0.7221	0.9897	0.8350
0.7324	0.9881	0.8413
0.7419	0.9869	0.8470
0.7500	0.9850	0.8516
0.7574	0.9833	0.8557
0.7652	0.9821	0.8602
0.7719	0.9808	0.8639
0.7793	0.9793	0.8680
0.7858	0.9781	0.8714
0.7917	0.9763	0.8744
0.7974	0.9749	0.8773
0.8029	0.9731	0.8799
0.8080	0.9717	0.8824
0.8127	0.9698	0.8843
